ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
DPG;2025;2;1141522755949.0;104252365520.0;111489081554.0;-1187054834832.0;4426973867048.0;2138594167726.0;7311948843959.0;;2710859832807.0;2461810753685.0;;;2114869935680.0;964082004104.0;0
DPG;2025;3;1176004267697.0;83312533914.0;101825788338.0;-1222079990738.0;4176052799236.0;1840131826885.0;7209578182530.0;;2804972366717.0;2563789899187.0;;;2127583877771.0;1036172017495.0;0
DPG;2025;4;1638629631184.0;157306739823.0;173474768424.0;-1257582223831.0;4687777557118.0;2479441966507.0;8127916614037.0;;2924532806540.0;2723185043671.0;;;2242549801276.0;1153831282280.0;0
DPG;2026;1;496643992443.0;101275832698.0;107421381632.0;-1295651808683.0;5494332554949.0;2654989925655.0;9407010421653.0;;3617662062686.0;3133601635993.0;;;2341813591201.0;1216757973432.0;0
CSV;2025;2;523585483782.0;71824335654.0;90507096870.0;-1086303530891.0;1688726443571.0;527697992377.0;2068717664247.0;;1541019671870.0;0.0;;;486820906070.0;247720253551.0;0
CSV;2025;3;510068262517.0;60065383211.0;76768080748.0;-1086766017261.0;1730036564933.0;536537948787.0;2137621330868.0;;1601083382081.0;0.0;;;493266154175.0;305468737164.0;0
CSV;2025;4;644015397847.0;41436124822.0;51877379327.0;-1092834000750.0;1678566437240.0;421333701407.0;2058704288231.0;;1621618966903.0;0.0;;;484719703087.0;320737909097.0;0
CSV;2026;1;628310844674.0;45148856944.0;56892069914.0;-1097893750986.0;1734110160493.0;437220215965.0;2118988039812.0;;1666767823847.0;0.0;;;475021771503.0;363623953670.0;0
STG;2025;2;676896870552.0;86212174984.0;102562861962.0;-1379927854124.0;1197232099640.0;536779803604.0;3436851232345.0;;2535898148017.0;317540295996.0;;;42404071635.0;1469876933822.0;0
STG;2025;3;662153934042.0;86972679453.0;100854022170.0;-1412783408039.0;1288505474967.0;549950179008.0;3540497536553.0;;2607034327469.0;337380647517.0;;;46029799897.0;1551781064045.0;0
STG;2025;4;693261586964.0;81870433942.0;104001226396.0;-1447285107690.0;1257067587174.0;538278084232.0;3616101720813.0;;2686316241377.0;345561634392.0;;;33767220063.0;1628306962762.0;0
STG;2026;1;676714638659.0;83804883239.0;98687886033.0;-1481501683274.0;1498798957368.0;572399257830.0;3824655621088.0;;2770121124617.0;436048607992.0;;;43206510666.0;1707127797224.0;0
TCL;2025;2;508297218378.0;55288753960.0;65855058481.0;-693156642564.0;680492119523.0;435517906876.0;1121308991846.0;;650452874970.0;0.0;;;13286814970.0;85170778977.0;0
TCL;2025;3;462551171486.0;34187809961.0;40992480917.0;-700309658928.0;785357338863.0;487956139303.0;1204962421356.0;;670875618899.0;0.0;;;11343395700.0;93365782007.0;0
TCL;2025;4;527998147483.0;51532594502.0;62060986733.0;-707548093594.0;728630184499.0;399644419478.0;1191059378368.0;;713420098786.0;0.0;;;13796628316.0;121355537070.0;0
TCL;2026;1;442069387156.0;32041054506.0;38087379700.0;-714382945052.0;667133360563.0;344235567199.0;1160988548748.0;;736426159729.0;0.0;;;13820004752.0;138851045507.0;0
AAA;2025;2;2309974267663.0;180960302761.0;214126258673.0;-2033719531297.0;4553020197155.0;3190439932889.0;12159528036613.0;;5844706909163.0;1049114542787.0;;;987232373973.0;453286006746.0;0
AAA;2025;3;2369473905606.0;125426841292.0;157935536087.0;-2101256523242.0;4377037083396.0;3110747143104.0;12241737677888.0;;6017883172138.0;1030799788482.0;;;757283181389.0;471371548675.0;0
AAA;2025;4;2192291125691.0;62021846963.0;121393030289.0;-2188863224299.0;4532817492410.0;3279775954320.0;12891604733753.0;;6079230359763.0;1129878560761.0;;;943451289416.0;551744950554.0;0
AAA;2026;1;2224065397921.0;162598707868.0;196029591763.0;-2272524448020.0;4335814072315.0;3156903635860.0;13002582935821.0;;6231786586102.0;1127106542906.0;;;813729823084.0;696034823639.0;0
STK;2025;2;333358213510.0;-6606126195.0;4555105770.0;-1589151771926.0;1027114176109.0;1334573083900.0;3879007000453.0;;1736370758111.0;807807820438.0;;;764977147088.0;704298831699.0;1
STK;2025;3;318955288378.0;10352546617.0;22958605112.0;-1612483657406.0;1285983496713.0;1531203363037.0;4114641078935.0;;1746723304726.0;836453000000.0;;;929820148939.0;714651378314.0;0
STK;2025;4;324293190359.0;10634361393.0;23881284535.0;-1636331485780.0;1326044872890.0;1372913349262.0;4155126897386.0;;1757357666119.0;1024598000000.0;;;984257622311.0;290423679707.0;0
STK;2026;1;268341669339.0;-34434109140.0;-31619680172.0;-1690075124837.0;1359619459957.0;1355377667981.0;4131764906341.0;;1722923556979.0;1053143000000.0;;;979444684963.0;255989570567.0;1
GIL;2025;2;128933218150.0;-71662859590.0;-55939503141.0;-212768874393.0;2977927179240.0;386431640146.0;3475150051997.0;;2474049519496.0;612238510690.0;;;1768085162678.0;754473422225.0;1
